TRANSACTIONID,DATE,TIME,CUSTOMERID,ITEMID,ITEMNAME,QUANTITY,UNITPRICE,TOTALPRICE,PAYMENTMETHOD
706728,2024-10-27,,10007435,0009,Freshly Squeezed Orange Juice,6,5.00,30.00,Cash
565340,2024-10-25,,10007421,0017,Sparkling Water (500 ml),2,8.00,16.00,Credit Card
400260,2024-10-23,,10001407,0017,Sparkling Water (500 ml),2,8.00,16.00,Mobile Payment
211551,2024-10-21,,10007435,0007,Assorted Cheese Board,3,18.00,54.00,Debit Card
859238,2024-11-01,,10005491,0018,Mashed Potatoes,5,10.00,50.00,Cash
683461,2024-10-27,,10007435,0011,Craft Beer (12 oz),1,7.00,7.00,Debit Card
424038,2024-12-02,,10006952,0007,Assorted Cheese Board,4,18.00,72.00,Cash
166572,2024-10-19,,10003671,0019,Tiramisu,4,12.00,48.00,Cash
685053,2024-10-24,,10005760,0015,Chocolate Cake Slice,3,6.00,18.00,Mobile Payment
826374,2024-10-27,,10007421,0008,Iced Tea,5,4.00,20.00,Cash
251886,2024-10-21,,10005760,0014,Signature Cocktail,5,12.00,60.00,Cash
938969,2024-12-05,,10006952,0011,Craft Beer (12 oz),2,7.00,14.00,Credit Card
209435,2024-10-21,,10007435,0016,Gelato,1,5.00,5.00,Debit Card
611354,2024-10-23,,10003671,0018,Mashed Potatoes,1,10.00,10.00,Cash
329649,2024-10-23,,10001407,0002,Avocado Toast,2,8.00,16.00,Credit Card
922619,2024-10-26,,10005760,0017,Sparkling Water (500 ml),6,8.00,48.00,Credit Card
837841,2024-10-28,,10007421,0009,Freshly Squeezed Orange Juice,5,5.00,25.00,Credit Card
910238,2024-12-03,,10006952,0008,Iced Tea,6,4.00,24.00,Credit Card
188563,2024-10-19,,10007421,0004,Grilled Chicken Sandwich,1,12.00,12.00,Mobile Payment
420295,2024-10-23,,10007435,0005,Margherita Pizza,1,15.00,15.00,Debit Card
756355,2024-10-26,,10001407,0002,Avocado Toast,2,8.00,16.00,Cash
858812,2024-11-01,,10001407,0004,Grilled Chicken Sandwich,6,12.00,72.00,Debit Card
242332,2024-10-19,,10001407,0012,House Red Wine (glass),4,8.00,32.00,Mobile Payment
698299,2024-10-24,,10003671,0019,Tiramisu,6,12.00,72.00,Credit Card
582537,2024-10-22,,10003671,0008,Iced Tea,2,4.00,8.00,Mobile Payment
761910,2024-10-27,,10003671,0008,Iced Tea,6,4.00,24.00,Mobile Payment
785527,2024-10-23,,10003702,0020,Vegetarian Lasagna,1,27.00,27.00,Debit Card
962150,2024-10-31,,10007435,0001,Freshly Baked Croissant,5,3.50,17.50,Debit Card
778365,2024-10-29,,10003671,0015,Chocolate Cake Slice,2,6.00,12.00,Mobile Payment
626380,2024-10-22,,10003702,0008,Iced Tea,3,4.00,12.00,Mobile Payment
319065,2024-10-21,,10003702,0015,Chocolate Cake Slice,4,6.00,24.00,Cash
842201,2024-10-27,,10005491,0009,Freshly Squeezed Orange Juice,1,5.00,5.00,Cash
123979,2024-10-19,,10007435,0006,Fresh Fruit Platter,1,6.00,6.00,Debit Card
690145,2020-12-24,,10005760,0006,Fresh Fruit Platter,5,6.00,30.00,Credit Card
838997,2024-10-26,,10001407,0002,Avocado Toast,3,8.00,24.00,Cash
818380,2024-10-24,,10003702,0013,House White Wine (glass),5,8.00,40.00,Mobile Payment
903989,2024-10-29,,10007421,0020,Vegetarian Lasagna,6,27.00,162.00,Credit Card
153742,2024-10-19,,10006952,0002,Avocado Toast,2,8.00,16.00,Mobile Payment
344152,2024-10-21,,10007421,0018,Mashed Potatoes,5,10.00,50.00,Credit Card
286141,2024-10-23,,10007435,0010,Espresso,4,3.00,12.00,Debit Card
602602,2024-10-23,,10001407,0006,Fresh Fruit Platter,4,6.00,24.00,Cash
665521,2024-10-24,,10005760,0014,Signature Cocktail,6,12.00,72.00,Cash
420805,2024-10-21,,10003671,0012,House Red Wine (glass),2,8.00,16.00,Credit Card
248914,2024-10-19,,10005491,0005,Margherita Pizza,6,15.00,90.00,Credit Card
565893,2024-10-24,,10005491,0007,Assorted Cheese Board,6,18.00,108.00,Cash
734811,2024-10-27,,10003671,0013,House White Wine (glass),4,8.00,32.00,Debit Card
904862,2024-10-26,,10003702,0007,Assorted Cheese Board,6,18.00,108.00,Credit Card
979066,2024-10-31,,10007435,0020,Vegetarian Lasagna,6,27.00,162.00,Debit Card
923107,2024-10-30,,10007435,0001,Freshly Baked Croissant,4,3.50,14.00,Credit Card
471219,2024-10-24,,10005760,0011,Craft Beer (12 oz),6,7.00,42.00,Cash
200215,2024-10-19,,10005760,0013,House White Wine (glass),5,8.00,40.00,Credit Card
217469,2024-10-19,,10003702,0001,Freshly Baked Croissant,3,3.50,10.50,Cash
129621,2024-10-19,,10005491,0011,Craft Beer (12 oz),2,7.00,14.00,Debit Card
873970,2024-10-25,,10003702,0010,Espresso,2,3.00,6.00,Cash
944211,2024-11-01,,10005491,0013,House White Wine (glass),2,8.00,16.00,Debit Card
294470,2024-10-20,,10007421,0019,Tiramisu,1,12.00,12.00,Cash
245112,2024-10-20,,10005760,0001,Freshly Baked Croissant,4,3.50,14.00,Credit Card
195019,2024-10-19,,10005760,0003,Caesar Salad,1,10.00,10.00,Debit Card
412661,2024-10-23,,10007421,0020,Vegetarian Lasagna,5,27.00,135.00,Debit Card
399919,2024-10-26,,10005760,0003,Caesar Salad,1,10.00,10.00,Cash
290191,2024-10-21,,10005491,0018,Mashed Potatoes,4,10.00,40.00,Debit Card
268272,2024-10-19,,10003671,0015,Chocolate Cake Slice,3,6.00,18.00,Debit Card
538195,2024-10-24,,10007421,0001,Freshly Baked Croissant,6,3.50,21.00,Debit Card
793165,2024-10-26,,10007421,0010,Espresso,3,3.00,9.00,Debit Card
389936,2024-10-29,,10006952,0005,Margherita Pizza,2,15.00,30.00,Cash
147359,2024-10-20,,10007435,0006,Fresh Fruit Platter,1,6.00,6.00,Mobile Payment
309726,2024-10-20,,10006952,0015,Chocolate Cake Slice,3,6.00,18.00,Mobile Payment
410366,2024-10-21,,10003671,0010,Espresso,5,3.00,15.00,Credit Card
348462,2024-10-22,,10007421,0020,Vegetarian Lasagna,1,27.00,27.00,Credit Card
828460,2024-10-29,,10003671,0015,Chocolate Cake Slice,6,6.00,36.00,Mobile Payment
726825,2024-10-27,,10007435,0003,Caesar Salad,1,10.00,10.00,Mobile Payment
418955,2024-10-21,,10005491,0007,Assorted Cheese Board,2,18.00,36.00,Debit Card
805205,2024-10-30,,10007435,0002,Avocado Toast,3,8.00,24.00,Cash
640037,2024-10-27,,10005491,0020,Vegetarian Lasagna,1,27.00,27.00,Credit Card
385083,2024-10-20,,10003671,0014,Signature Cocktail,6,12.00,72.00,Debit Card
